file,origin size,final size
10,5368709120,1662942217
20,10737418240,3563783511
30,16106127360,4877423499
40,20807942144,6149045602
50,26065502208,7797056955
60,31083986944,9401924213
70,36098277376,10793919535
80,40827355136,12109930625
90,45412777984,13394045551
100,50434408448,14698272577
110,55803117568,16273698469
120,60779659264,18019461354
130,65891467264,19434852934
140,70928826368,20908081594
150,76067897344,22532273145
160,81254154240,23973786087
170,86132129792,25081669128
180,90999619584,26315788171
190,96213139456,28396283156
200,101581848576,29948298717
210,106944266240,31304744543
220,112186097664,33316988221
230,117554806784,35087739161
240,122923515904,36709842935
250,127809880064,38751535386
260,132893376512,40145860333
270,137393864704,41856356263
280,142762573824,43093568577
290,148131282944,44648456089
300,153074270208,45919380655
310,158442979328,47777465868
320,163470901248,49157995534
330,168313225216,50334714283
340,173589659648,51934101129
350,178958368768,53657008505
360,183823761408,55716245570
370,188212051968,57091019505
380,192972587008,58386428923
390,198341296128,60198394290
400,203710005248,62170489140
410,209078714368,63905569078
420,214164307968,65768994094
430,219366293504,67255997301
440,223966396416,68398381529
450,229335105536,69983833005
460,234703814656,71740610256
470,240072523776,73350352209
480,245441232896,75179297057
490,250115784704,76992523434
500,255484493824,78557014332
510,259706060800,79985315070
520,264718254080,81586295131
530,269409583104,83149319084
540,273948868608,84730660805
550,279317577728,86236687487
560,283718451200,87556438332
570,288367837184,89009317459
580,293225889792,90017060714
590,298293657600,91389543667
600,303486205952,92972926692
610,308854915072,94526245594
620,314223624192,95624745984
630,319189680128,96871784430
640,324021518336,98267546383
650,328866988032,99326821003
660,334118256640,101025324162
670,339486965760,103233438969
680,344855674880,104830992106
690,349764059136,105865333685
700,355132768256,107446749254
710,360461631488,109054170386
720,365229506560,110612233291
730,370598215680,111782325025
740,375966924800,113232522618
750,381009526784,114609191887
760,386171666432,116074008589
770,390716194816,117481076428
780,395627724800,119448898337
790,400858021888,121102084377
800,406179545088,122827430319
810,411548254208,124541520024
820,416916963328,126943485385
830,422285672448,128666712182
840,427556864000,130455318554
850,432539697152,132115984128
860,437180694528,133357585291
870,442291453952,134752453504
880,447660163072,136046206143
890,453028872192,137683412190
900,457897410560,139131573977
910,463266119680,140581414461
920,468116832256,142106724893
930,473485541376,144064313583
940,478213570560,145477279359
950,483234152448,147136884725
960,487885635584,148659813042
970,492792971264,150305730199
980,497689821184,151467219891
990,502447210496,152665288977
1000,507781316608,154055407201
1010,513150025728,155868320382
1020,518518734848,157604773158
1030,523344281600,159323621736
1040,528712990720,160741044516
1050,534081699840,162167977200
1060,539432583168,163513426845
1070,544801292288,165050039824
1080,549641519104,166694077836
1090,554818338816,167616159391
1100,560187047936,169313957100
1110,565145763840,170539402961
1120,570514472960,172244975369
1130,575735332864,173849156860
1140,580846092288,175654095550
1150,586214801408,177565252187
1160,591447195648,179137147901
1170,596337754112,180119148425
1180,601237749760,181711618602
1190,606606458880,183189347394
1200,611975168000,184767537125
1210,617121579008,186423098970
1220,622183055360,188060191955
1230,627551764480,189601011736
1240,632920473600,191318340052
1250,638289182720,192941971662
1260,642473000960,193956728775
1270,647482048512,195226868615
1280,652850757632,196909867795
1290,658219466752,198096605321
1300,662662283264,199714153884
1310,668030992384,201436783057
1320,672961396736,202807625194
1330,677854052352,204283317615
1340,682857857024,205737229314
1350,686938914816,207263235838
1360,692307623936,208643099056
1370,697646972928,210509440850
1380,701739565056,211531671527
1390,705530167296,212902331072
1400,710424920064,214669970298
1410,715294507008,216275955869
1420,719634563072,217843224323